turn,player_turn,desk,hand_0,hand_1
0,0,[],"[""3C"", ""9S"", ""8D"", ""JH"", ""6D"", ""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H""]","[""AS"", ""JS"", ""5C"", ""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
1,1,"[""3C""]","[""9S"", ""8D"", ""JH"", ""6D"", ""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H""]","[""AS"", ""JS"", ""5C"", ""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
2,0,"[""3C"", ""AS""]","[""9S"", ""8D"", ""JH"", ""6D"", ""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H""]","[""JS"", ""5C"", ""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
3,1,"[""3C"", ""AS"", ""9S""]","[""8D"", ""JH"", ""6D"", ""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H""]","[""JS"", ""5C"", ""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
4,0,"[""3C"", ""AS"", ""9S"", ""JS""]","[""8D"", ""JH"", ""6D"", ""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H""]","[""5C"", ""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
5,1,"[""3C"", ""AS"", ""9S"", ""JS"", ""8D""]","[""JH"", ""6D"", ""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H""]","[""5C"", ""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
6,0,"[""3C"", ""AS"", ""9S"", ""JS"", ""8D"", ""5C""]","[""JH"", ""6D"", ""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H""]","[""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
6,0,"[""3C"", ""AS"", ""9S"", ""JS"", ""8D"", ""5C"", ""JH""]","[""6D"", ""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H""]","[""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
7,0,"[""3C"", ""AS"", ""9S""]","[""6D"", ""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H"", ""JS"", ""8D"", ""5C"", ""JH""]","[""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
8,1,"[""3C"", ""AS"", ""9S"", ""6D""]","[""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H"", ""JS"", ""8D"", ""5C"", ""JH""]","[""7C"", ""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
9,0,"[""3C"", ""AS"", ""9S"", ""6D"", ""7C""]","[""4D"", ""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H"", ""JS"", ""8D"", ""5C"", ""JH""]","[""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
10,1,"[""3C"", ""AS"", ""9S"", ""6D"", ""7C"", ""4D""]","[""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H"", ""JS"", ""8D"", ""5C"", ""JH""]","[""JC"", ""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
11,0,"[""3C"", ""AS"", ""9S"", ""6D"", ""7C"", ""4D"", ""JC""]","[""9H"", ""2H"", ""5D"", ""QS"", ""KC"", ""AD"", ""3D"", ""QC"", ""KS"", ""3H"", ""6S"", ""7S"", ""7D"", ""4C"", ""8C"", ""AC"", ""QH"", ""KH"", ""AH"", ""5S"", ""8H"", ""JS"", ""8D"", ""5C"", ""JH""]","[""8S"", ""10S"", ""4S"", ""9D"", ""3S"", ""5H"", ""2S"", ""Joker2"", ""QD"", ""9C"", ""KD"", ""10C"", ""7H"", ""4H"", ""2C"", ""10D"", ""Joker1"", ""6H"", ""JD"", ""6C"", ""2D"", ""10H""]"
