turn,player_turn,desk,hand_0,hand_1
0,0,[],"[""2D"", ""4D"", ""6C"", ""8S"", ""10S"", ""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""3S"", ""5D"", ""7C"", ""9S"", ""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
1,1,"[""2D""]","[""4D"", ""6C"", ""8S"", ""10S"", ""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""3S"", ""5D"", ""7C"", ""9S"", ""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
2,0,"[""2D"", ""3S""]","[""4D"", ""6C"", ""8S"", ""10S"", ""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""5D"", ""7C"", ""9S"", ""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
3,1,"[""2D"", ""3S"", ""4D""]","[""6C"", ""8S"", ""10S"", ""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""5D"", ""7C"", ""9S"", ""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
4,0,"[""2D"", ""3S"", ""4D"", ""5D""]","[""6C"", ""8S"", ""10S"", ""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""7C"", ""9S"", ""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
5,1,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C""]","[""8S"", ""10S"", ""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""7C"", ""9S"", ""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
6,0,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C""]","[""8S"", ""10S"", ""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""9S"", ""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
7,1,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S""]","[""10S"", ""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""9S"", ""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
8,0,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S""]","[""10S"", ""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
9,1,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S""]","[""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""JC"", ""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
